address,actual_rewarded_coins,expected_reward_base_units,compensation_base_units
gonka1famtxh54kad6ylwtm60j6d7h6unpc08d4vdqnk,229898414457384,228252387380438,30976049179407
gonka1fc9tzt83dgrqswlgay4668cuqjrk7zsqks2vm2,1244403735582,1199114284851,688423583150
gonka1fkrsesmn2hdj30fhwyam6h4f2e77un36xalhvl,9509853826313,7508002924233,0
gonka1fp8zl07qccdzuekns2q55jgmcag40kjrm8z0z9,722030246091,1463332257115,741302011024
gonka1fvly5jrewyjmjfgwah3khy9rttq4cqajcesv9p,0,1957561745592,1957561745592
gonka1ge9amk4ymld27d35akj3ky9uph4gyz6rdpepjj,799285852557,1961673710352,1162387857795
gonka1gyk0aahvr3qeju4zx0nplfreej6cy4jjk8svc5,929932371494,1013603495145,142236277510
gonka1gyydhl9lp0udz3409ps0c0lk0y4ft8qcyv8tfq,547634678750,1109886316908,562251638158
gonka1h2m79scgaq6ultrwge03wjk0ys4whgcejphmql,894756318982,1087738297732,474959170278
gonka1h3s37p0l23mg6ak9h9nmayh6r9f2vm6umj3qet,1998931408014,1998931408014,0
gonka1hwvel7n3zuk6wruefuzc356l9myske9stckwnz,53481103346260,48549118583027,609105941338
gonka1hytku6t3cfd7wppyrjvu357jjqpsgsw6wcprcy,0,827971478587,827971478587
gonka1jcelp2ad2x0jf2vnyhkhd6wquug0zpd09sxxw4,10105163715,0,0
gonka1jltjehxsnum94nt8c00ts7khmpy4lafv6gryzk,38828318402657,32657649076018,0
gonka1jrgm47v5eg876udmzg6j6glqcsd5x0vk6crpax,5487326233809,4980637104205,0
gonka1k6p754pyhxud2399knyccgjpjvdafj2u9xlgyf,322713292835,329318816635,329318816635
gonka1kdmstpljv33v8lz457lmj8f9g995l7ygwm460s,10105163715,0,0
gonka1kx9mca3xm8u8ypzfuhmxey66u0ufxhs7nm6wc5,5517484807636,8614047281247,3096562473611
gonka1l0enytn32rklk95dxrdt3v39hktxdw79trvgj5,10105163715,0,0
gonka1l0qv64xdu3dk2zzm5vk97j0drcmkus95u50gqk,10105163715,192771990225,192771990225
gonka1l6pp6p5hgaa69rj0eazn73f7gkawue94fq5v9g,10105163715,0,0
gonka1l7p83akwkcxtksnwve23x5wp47zammznm4qus8,0,511451673190,511451673190
gonka1llgg3kvg9sc6xz09jtkcrucrppxgn78xe4xlv0,779401498150,1912839759881,1133438261731
gonka1lr9mj6dgkv0h76c8y8w0l3esztyg9v2q8d6d8d,6130587008082,6425528965978,806228688288
gonka1lswsj2x7u4606wqpunmm07skgf76r3dyz4v0d8,824385775333,2023017667339,1198631892006
gonka1m27e6qup7q8jmvnrn29kahd7vlx6r4l84z4thz,732461382829,889089066340,889089066340
gonka1mdy7nlecw4xaqdxmeh3qlqzakg9ftge9szfqgg,720842589099,1655312868332,1042787816193
gonka1mmlyd5xxu5l68yx8wzclrkxkxvm88mhq5tp5s0,720842589099,612525052139,0
gonka1myu058axjs62mc3e7na9krwvqpfl9z3gtcw9es,55335715889671,45597576345563,0
gonka1nkzdygk3g2p2usnueuqxyep3462350hgzxs86s,10105163715,558904902217,558904902217
gonka1p2lhgng7tcqju7emk989s5fpdr7k2c3ek6h26m,1530679929714,1721731935281,209840343527
gonka1p60lruhxmwcsa9taa28cp4k4f6kv2kvyu5h5ep,343249593288,616394556339,273144963051
gonka1pllyukkeymx3hfd9mts3pryr9y6efs9eshty87,18549594986569,15634445109071,560578270188
gonka1psgzz288a434dv6863ldd73xma70zw7387muj2,534595757828,1083460452220,548864694392
gonka1pvkv59e72vju2h7s9j3ex62c5xneqey350vpwn,1614427038906,3503388820331,2119318256914
gonka1q5xt54wncgzk7dxv9x64uln68455g83wu9tugg,241030474095372,301178738599821,75557987223848
gonka1qa90tgczc0k5dvk4l5nvlf5y6phgm6mg22sfjv,41323955270549,38979110225030,0
gonka1ql9asemklpkpr2d4mh33xw5gj0g5tm0v98c5q3,534595757828,1083460452220,548864694392
gonka1qnj39ysxpzknvrr5dw9rdl7cx5q7dpkwerryrs,89649904318,15080934933,0
gonka1qu9mna5xlvlnw9455ygtjq92wuzkzm237w8l08,1324389982897,447809677338,0
gonka1qwfrtz9c7kcrfkrrlne2pkcye74mj6ce33xdkl,1509991447166,1612212804904,220215224945
gonka1qx4f2vzhccv0ndhssfgafvf55xf4smuzjmkvky,0,508191942959,508191942959
gonka1r5hdy9q5v783ef7td98k4c68cxl6a58h5sytfq,2085901374599,5119333666284,3033432291685
gonka1rcpc45n6zch9qlkn4m3cwngekad89xu8mcr09v,12970588921804,11189627187892,763390468238
gonka1sa32xmpxvv7nepfc22004rgdl4ddjvne42guce,0,766688550251,766688550251
gonka1slndy4rsmld579628302rj5gz8z9qf4v6ppmc4,4294153001303,3899186011473,0
gonka1t8p0tjqls358gmzvd3rnnjulraq2k3m772vnt8,0,1377181839894,1377181839894
gonka1tja3g2da45efhe2p83gk3whtussmgmtsdlgprt,62528998609123,55058086315300,0
gonka1tl5m3vuqsx333v7095ymwjdc4vdk2wd9r5hqws,719143490480,1699976439292,1069610851654
gonka1tlvg4kjx7ljd5thgd5fkgh39q6lu8cmxupktgg,3228485985536,4130776478859,1821612813378
gonka1tmk2tzdneht6smu34pkmqdvu7p34qavvmwtwq2,2162691802263,2667983973526,515397334978
gonka1u4zxypjgcr8khlzefwjr0vwdaj2uzruw2cehj3,5454789130870,4375016458810,0
gonka1u9a7r4w76gult5n9ysadnual9fghkc6yda60wj,598125330822,1002958719934,414938552827
gonka1uawu7tlxcuss8xk9m63fpjm86y58chsg5xwsjt,488307588552,0,0
gonka1uf5cg7ef0ns6877nl27y0s6rt06cdmn40k5a88,1541754024677,1478914111350,59571899757
gonka1uhqpup9fev3zahlx6n326lp0krznc6usjtx6lu,18638421176994,17595511664487,0
gonka1ujnc662v6g69jm6fgxnr79a2m7ehzeut059239,4760475260316,4207235332109,419181175522
gonka1umvyh0rz5fdmk9qhxurshhchennajced6f4s89,32927319269841,35904144733689,19372942551045
gonka1usmu5mfu8vsafvsrsvdutl50vy8kumdhv0j2x9,10105163715,552211430334,552211430334
gonka1uzk2scggfzghr9a5j92l00gzw4jx4adc66977y,8196062970947,4827666595498,923364446238
gonka1vcawx5jc2hahydd9sqw30hlxyd9ppupm9ez0yz,10105163715,542171222510,542171222510
gonka1vcvn2p5gczr5pynqq0ca0933tdrf5w64sjgtdg,8160245160632,8303980040337,2481939374157
gonka1vjz8csqsr0ph0lv0yylc4auypnzrld7y6l2feu,1786317577649,2749710579098,985117113872
gonka1vz2jg42w39l63dmvmjqdsnxx0ywnzt9nzypdy7,0,748760033982,748760033982
gonka1w29nvdy6caqtrw30whz9h6ghl0xszwh3egndah,559284535135,618934609207,79211444605
gonka1wfn87ruutktth7l8ne3rvhmlsscqxah09kua02,0,531336027597,531336027597
gonka1wkgawwdzj623ss8eywayzdj6qcgr2llygactje,4226932589348,10993510019086,7320483579523
gonka1wthc28t25pg63hzvl07rl8e8r6km6hesl6jhsz,13174367128588,13742466440207,2246255933785
gonka1wvv656pt2d8x2khcvytqeessck5uzjnxzsa8f6,19870489928245,17168498679347,0
gonka1x7zh2277spp7jfqjhv0g5mnezg290xdr4kpfnk,2296211856545,2097086587933,252678563577
gonka1xwkesaxvdadh9wt9yyladu0r260s7whklcktds,9354857850947,10748717204967,1937570912091
gonka1y2a9p56kv044327uycmqdexl7zs82fs5ryv5le,6335339937157,68341523899036,63246167030340
gonka1y4kyhqy022gt4kklxxflgqkutnx96ssww66zg6,700878180326,1554551563624,942026511485
gonka1yal0ysgzc860zt3y8cds8656tnueusgymftvkw,697479983088,1317927698458,705402646319
gonka1ym3np7guxart483yfdxnlztuazx22cjt0e4a2p,23613749145270,19963822721421,211848385092
gonka1ym8g5f34h5zu4p4d4ldjnycfkty9qxpmyx5a3m,0,517971133651,517971133651
gonka1yt2s5u5k06rm2au8dsqm4kzwmw7klqsrd6xd95,0,489937453668,489937453668
gonka1zktn8j65wlys8a8e38hqhf4y3x6m4x04zskkrx,9247234238483,8257401056317,0
gonka1zpw8tml8xl4fm6zm8zpf2u4pq4tehmd9e2vgq7,5067876250444,4019892513886,0
gonka1zsvl7ujlc8z3a35v2q6e3nml7ftyk23v76jqgl,17379376717852,15110059038485,0
