actual_reward_gnk,actual_rewarded_coins,address,compensation_base_units,compensation_gnk,confirmation_weight,effective_weight,epoch,exclusion_reason,expected_reward_base_units,expected_reward_gnk,fixed_epoch_reward,notes,reward_rate_base_units_per_weight,total_epoch_weight,weight
0.000000000,0,gonka125n6kr5gvdup0lndfkps7t6rd6592panhrg3np,358796135671,358.796135671,0,0,254,failed_confirmation_poc,358796135671,358.796135671,286425172268357,participant excluded from distribution; chain_effective_reward_base_units=0; full_weight_reward_base_units=358796135671; expected_reward_weight=1288; expected_reward_base_units=358796135671,278568428.31612890049056412929729897957992771862393,1028204,1288
3497.983754365,3497983754365,gonka12pcu9mcrpa4w4sjd9y3dsksnvu495ss6f9r4ra,96106107769,96.106107769,12902,12902,254,,3594089862134,3594.089862134,286425172268357,chain_effective_reward_base_units=3594089862134; full_weight_reward_base_units=3594089862134; expected_reward_weight=12902; expected_reward_base_units=3594089862134,278568428.31612890049056412929729897957992771862393,1028204,12902
0.000000000,0,gonka12tfc6ccmadjqv6yaa3axxsuhy6zv6tupu78p8u,190262236539,190.262236539,0,0,254,failed_confirmation_poc,190262236539,190.262236539,286425172268357,participant excluded from distribution; chain_effective_reward_base_units=0; full_weight_reward_base_units=190262236539; expected_reward_weight=683; expected_reward_base_units=190262236539,278568428.31612890049056412929729897957992771862393,1028204,683
2797.384157150,2797384157150,gonka14ljarev2nlzu4ej50vx7ylj2rvg4n20fnq2ysc,76884886215,76.884886215,10318,10318,254,,2874269043365,2874.269043365,286425172268357,chain_effective_reward_base_units=2874269043365; full_weight_reward_base_units=2874269043365; expected_reward_weight=10318; expected_reward_base_units=2874269043365,278568428.31612890049056412929729897957992771862393,1028204,10318
814.534084396,814534084396,gonka14tqh62mangwzrma2lgg2dm375rcjzn2ydy8ttm,143741309011,143.741309011,3440,3440,254,confirmation_weight_reduction,958275393407,958.275393407,286425172268357,chain_effective_reward_base_units=958275393407; full_weight_reward_base_units=1616254021090; expected_reward_weight=3440; expected_reward_base_units=958275393407,278568428.31612890049056412929729897957992771862393,1028204,5802
8713.620437728,8713620437728,gonka15munkmx6x7k6rqqeexjet4556p7at39ks9qgr5,0,0.000000000,31280,31280,254,confirmation_weight_reduction,8713620437728,8713.620437728,286425172268357,chain_effective_reward_base_units=8713620437728; full_weight_reward_base_units=8965724865354; expected_reward_weight=31280; expected_reward_base_units=8713620437728,278568428.31612890049056412929729897957992771862393,1028204,32185
0.000000000,0,gonka163ug8zucqeag9v5ey4au34jqt7vejkmxsg74eu,344310577398,344.310577398,0,0,254,failed_confirmation_poc,344310577398,344.310577398,286425172268357,participant excluded from distribution; chain_effective_reward_base_units=0; full_weight_reward_base_units=344310577398; expected_reward_weight=1236; expected_reward_base_units=344310577398,278568428.31612890049056412929729897957992771862393,1028204,1236
8109.962653567,8109962653567,gonka168rtjfkszuhcggg4dfyse4yh7xn9zwfglnkns2,0,0.000000000,29113,29113,254,,8109962653567,8109.962653567,286425172268357,chain_effective_reward_base_units=8109962653567; full_weight_reward_base_units=8109962653567; expected_reward_weight=29113; expected_reward_base_units=8109962653567,278568428.31612890049056412929729897957992771862393,1028204,29113
17866.264718483,17866264718483,gonka16k03ze5ynkprsd4n6e5uzhthvu9jjk553rauqy,0,0.000000000,64136,64136,254,,17866264718483,17866.264718483,286425172268357,chain_effective_reward_base_units=17866264718483; full_weight_reward_base_units=17866264718483; expected_reward_weight=64136; expected_reward_base_units=17866264718483,278568428.31612890049056412929729897957992771862393,1028204,64136
31825.050092976,31825050092976,gonka17gpuntq09zsaqtmpe544gc32tk4424dwv5t34f,0,0.000000000,114245,114245,254,confirmation_weight_reduction,31825050092976,31825.050092976,286425172268357,chain_effective_reward_base_units=31825050092976; full_weight_reward_base_units=32306416337106; expected_reward_weight=114245; expected_reward_base_units=31825050092976,278568428.31612890049056412929729897957992771862393,1028204,115973
12439.194598028,12439194598028,gonka17pw6099q758qwzewtrqmqpf5c2lrhr97fwqexu,32313937685,32.313937685,44770,44770,254,,12471508535713,12471.508535713,286425172268357,chain_effective_reward_base_units=12471508535713; full_weight_reward_base_units=12471508535713; expected_reward_weight=44770; expected_reward_base_units=12471508535713,278568428.31612890049056412929729897957992771862393,1028204,44770
0.000000000,0,gonka1830lqug50lse998x2lakk4pj5ypfumz5pasz0y,163241098993,163.241098993,586,0,254,failed_confirmation_poc,163241098993,163.241098993,286425172268357,participant excluded from distribution; subgroup voting_power capped the confirmation weight; chain_effective_reward_base_units=0; full_weight_reward_base_units=317846576708; expected_reward_weight=586; expected_reward_base_units=163241098993,278568428.31612890049056412929729897957992771862393,1028204,1141
3005.753341531,3005753341531,gonka187tn9y92ur6tu0zf69u94hwl0q77m47y0k36hv,5014231709,5.014231709,10808,10808,254,,3010767573240,3010.767573240,286425172268357,chain_effective_reward_base_units=3010767573240; full_weight_reward_base_units=3010767573240; expected_reward_weight=10808; expected_reward_base_units=3010767573240,278568428.31612890049056412929729897957992771862393,1028204,10808
0.000000000,0,gonka18xeqnspxpg2vncufnjne485rkaagwvz7whyn0d,349046240680,349.046240680,0,0,254,failed_confirmation_poc,349046240680,349.046240680,286425172268357,participant excluded from distribution; chain_effective_reward_base_units=0; full_weight_reward_base_units=349046240680; expected_reward_weight=1253; expected_reward_base_units=349046240680,278568428.31612890049056412929729897957992771862393,1028204,1253
0.000000000,0,gonka19cjm4c5mt3j3qdr8vhytmm4hef3pnkvkm0x7m2,346817693253,346.817693253,0,0,254,failed_confirmation_poc,346817693253,346.817693253,286425172268357,participant excluded from distribution; chain_effective_reward_base_units=0; full_weight_reward_base_units=346817693253; expected_reward_weight=1245; expected_reward_base_units=346817693253,278568428.31612890049056412929729897957992771862393,1028204,1245
470.780643854,470780643854,gonka19f9hkpmjaldncsfly4j63sy932y8hughn4l3d8,6964210708,6.964210708,1715,1715,254,,477744854562,477.744854562,286425172268357,chain_effective_reward_base_units=477744854562; full_weight_reward_base_units=477744854562; expected_reward_weight=1715; expected_reward_base_units=477744854562,278568428.31612890049056412929729897957992771862393,1028204,1715
1059.952869742,1059952869742,gonka19ghzvgfr065s3fr5awuvs3nhy9fq4n7wrr9kel,0,0.000000000,3805,3805,254,,1059952869742,1059.952869742,286425172268357,chain_effective_reward_base_units=1059952869742; full_weight_reward_base_units=1059952869742; expected_reward_weight=3805; expected_reward_base_units=1059952869742,278568428.31612890049056412929729897957992771862393,1028204,3805
208.926321237,208926321237,gonka1amlmhjym02shahjv8ldmupg4cx0qc66q6f85rj,7799915992,7.799915992,778,778,254,,216726237229,216.726237229,286425172268357,chain_effective_reward_base_units=216726237229; full_weight_reward_base_units=216726237229; expected_reward_weight=778; expected_reward_base_units=216726237229,278568428.31612890049056412929729897957992771862393,1028204,778
531.508561227,531508561227,gonka1ccdm8j6sjyhq4qask049dwgaczs7f3pxte6zmp,16714105699,16.714105699,1968,1968,254,,548222666926,548.222666926,286425172268357,chain_effective_reward_base_units=548222666926; full_weight_reward_base_units=548222666926; expected_reward_weight=1968; expected_reward_base_units=548222666926,278568428.31612890049056412929729897957992771862393,1028204,1968
22326.423824252,22326423824252,gonka1d694r00czmq75txghwjcuk07lxvc8d4ekgsha0,0,0.000000000,80147,80147,254,confirmation_weight_reduction,22326423824252,22326.423824252,286425172268357,chain_effective_reward_base_units=22326423824252; full_weight_reward_base_units=22649563201099; expected_reward_weight=80147; expected_reward_base_units=22326423824252,278568428.31612890049056412929729897957992771862393,1028204,81307
0.000000000,0,gonka1d7ghexkrnm00fh695zcd00xgfgwxe2vvamcsdt,220626195226,220.626195226,0,0,254,failed_confirmation_poc,220626195226,220.626195226,286425172268357,participant excluded from distribution; chain_effective_reward_base_units=0; full_weight_reward_base_units=220626195226; expected_reward_weight=792; expected_reward_base_units=220626195226,278568428.31612890049056412929729897957992771862393,1028204,792
160.455414710,160455414710,gonka1d7p03cu2y2yt3vytq9wlfm6tlz0lfhlgv9h82p,6407073851,6.407073851,599,599,254,,166862488561,166.862488561,286425172268357,chain_effective_reward_base_units=166862488561; full_weight_reward_base_units=166862488561; expected_reward_weight=599; expected_reward_base_units=166862488561,278568428.31612890049056412929729897957992771862393,1028204,599
298.903923583,298903923583,gonka1dkl4mah5erqggvhqkpc8j3qs5tyuetgdy552cp,10585600276,10.585600276,1111,1111,254,,309489523859,309.489523859,286425172268357,chain_effective_reward_base_units=309489523859; full_weight_reward_base_units=309489523859; expected_reward_weight=1111; expected_reward_base_units=309489523859,278568428.31612890049056412929729897957992771862393,1028204,1111
34434.957697869,34434957697869,gonka1duuaqdx06sx8v2dzggltwwmqyuw8lvjkjq7xll,807012736832,807.012736832,126511,126511,254,,35241970434701,35241.970434701,286425172268357,chain_effective_reward_base_units=35241970434701; full_weight_reward_base_units=35241970434701; expected_reward_weight=126511; expected_reward_base_units=35241970434701,278568428.31612890049056412929729897957992771862393,1028204,126511
0.000000000,0,gonka1f0u3y2wneer8zhz3ypw4x54h38cpa0qsy8ts3e,351553356534,351.553356534,0,0,254,failed_confirmation_poc,351553356534,351.553356534,286425172268357,participant excluded from distribution; chain_effective_reward_base_units=0; full_weight_reward_base_units=351553356534; expected_reward_weight=1262; expected_reward_base_units=351553356534,278568428.31612890049056412929729897957992771862393,1028204,1262
