actual_reward_gnk,actual_rewarded_coins,address,compensation_base_units,compensation_gnk,confirmation_weight,effective_weight,epoch,exclusion_reason,expected_reward_base_units,expected_reward_gnk,fixed_epoch_reward,notes,reward_rate_base_units_per_weight,total_epoch_weight,weight
3238.248469197,3238248469197,gonka10mmdjau4dnj8krs7sh7t7635ttnmq9u3vqgz09,0,0.000000000,8010,8010,251,,3238248469197,3238.248469197,286833619088082,chain_effective_reward_base_units=3238248469197; full_weight_reward_base_units=3238248469197; expected_reward_weight=8010; expected_reward_base_units=3238248469197,404275714.00716279069767441860465116279069767441860,709500,8010
4465.225261209,4465225261209,gonka12pcu9mcrpa4w4sjd9y3dsksnvu495ss6f9r4ra,0,0.000000000,11045,11045,251,,4465225261209,4465.225261209,286833619088082,chain_effective_reward_base_units=4465225261209; full_weight_reward_base_units=4465225261209; expected_reward_weight=11045; expected_reward_base_units=4465225261209,404275714.00716279069767441860465116279069767441860,709500,11045
3669.206380329,3669206380329,gonka14ljarev2nlzu4ej50vx7ylj2rvg4n20fnq2ysc,71152525665,71.152525665,9252,9252,251,,3740358905994,3740.358905994,286833619088082,chain_effective_reward_base_units=3740358905994; full_weight_reward_base_units=3740358905994; expected_reward_weight=9252; expected_reward_base_units=3740358905994,404275714.00716279069767441860465116279069767441860,709500,9252
1896.053098693,1896053098693,gonka14tqh62mangwzrma2lgg2dm375rcjzn2ydy8ttm,0,0.000000000,4690,4690,251,,1896053098693,1896.053098693,286833619088082,chain_effective_reward_base_units=1896053098693; full_weight_reward_base_units=1896053098693; expected_reward_weight=4690; expected_reward_base_units=1896053098693,404275714.00716279069767441860465116279069767441860,709500,4690
7703.878006120,7703878006120,gonka15munkmx6x7k6rqqeexjet4556p7at39ks9qgr5,0,0.000000000,19056,19056,251,,7703878006120,7703.878006120,286833619088082,chain_effective_reward_base_units=7703878006120; full_weight_reward_base_units=7703878006120; expected_reward_weight=19056; expected_reward_base_units=7703878006120,404275714.00716279069767441860465116279069767441860,709500,19056
0.000000000,0,gonka163ug8zucqeag9v5ey4au34jqt7vejkmxsg74eu,511813053933,511.813053933,0,0,251,failed_confirmation_poc,511813053933,511.813053933,286833619088082,participant excluded from distribution; chain_effective_reward_base_units=0; full_weight_reward_base_units=511813053933; expected_reward_weight=1266; expected_reward_base_units=511813053933,404275714.00716279069767441860465116279069767441860,709500,1266
0.000000000,0,gonka168rtjfkszuhcggg4dfyse4yh7xn9zwfglnkns2,432170738273,432.170738273,1069,0,251,missed_requests,432170738273,432.170738273,286833619088082,downtime punishment reduced effective reward to zero; subgroup voting_power capped the confirmation weight; chain_effective_reward_base_units=0; full_weight_reward_base_units=433787841129; expected_reward_weight=1069; expected_reward_base_units=432170738273,404275714.00716279069767441860465116279069767441860,709500,1073
1995.504924339,1995504924339,gonka16k03ze5ynkprsd4n6e5uzhthvu9jjk553rauqy,0,0.000000000,4936,4936,251,,1995504924339,1995.504924339,286833619088082,chain_effective_reward_base_units=1995504924339; full_weight_reward_base_units=1995504924339; expected_reward_weight=4936; expected_reward_base_units=1995504924339,404275714.00716279069767441860465116279069767441860,709500,4936
4126.037937157,4126037937157,gonka175dvjafzhfxwgvrj83cm9ekmgh2a4u7nqv4azu,46895982824,46.895982824,10322,10322,251,,4172933919981,4172.933919981,286833619088082,chain_effective_reward_base_units=4172933919981; full_weight_reward_base_units=4172933919981; expected_reward_weight=10322; expected_reward_base_units=4172933919981,404275714.00716279069767441860465116279069767441860,709500,10322
42275.919965157,42275919965157,gonka17gpuntq09zsaqtmpe544gc32tk4424dwv5t34f,0,0.000000000,104572,104572,251,,42275919965157,42275.919965157,286833619088082,chain_effective_reward_base_units=42275919965157; full_weight_reward_base_units=42275919965157; expected_reward_weight=104572; expected_reward_base_units=42275919965157,404275714.00716279069767441860465116279069767441860,709500,104572
6634.568742571,6634568742571,gonka17pw6099q758qwzewtrqmqpf5c2lrhr97fwqexu,0,0.000000000,16411,16411,251,,6634568742571,6634.568742571,286833619088082,chain_effective_reward_base_units=6634568742571; full_weight_reward_base_units=6634568742571; expected_reward_weight=16411; expected_reward_base_units=6634568742571,404275714.00716279069767441860465116279069767441860,709500,16411
460.065762540,460065762540,gonka1830lqug50lse998x2lakk4pj5ypfumz5pasz0y,12128271420,12.128271420,1168,1168,251,,472194033960,472.194033960,286833619088082,chain_effective_reward_base_units=472194033960; full_weight_reward_base_units=472194033960; expected_reward_weight=1168; expected_reward_base_units=472194033960,404275714.00716279069767441860465116279069767441860,709500,1168
3970.391787264,3970391787264,gonka187tn9y92ur6tu0zf69u94hwl0q77m47y0k36hv,0,0.000000000,9821,9821,251,,3970391787264,3970.391787264,286833619088082,chain_effective_reward_base_units=3970391787264; full_weight_reward_base_units=3970391787264; expected_reward_weight=9821; expected_reward_base_units=3970391787264,404275714.00716279069767441860465116279069767441860,709500,9821
