node,endpoint,epoch,model_id,label,status,path,sha256,size_bytes,fetched_at_utc,error
http://node1.gonka.ai:8000,/chain-api/productscience/inference/inference/epoch_group_data/271?model_id=moonshotai%2FKimi-K2.6,271,moonshotai/Kimi-K2.6,epoch_group_data_model,ok,outputs/shard_proof_audit/20260523T195713Z/raw/node1.gonka.ai_8000/epoch_271/epoch_group_data__moonshotai_Kimi-K2.6.json,d8a24593b05a00f3a528060356b071a0a9a26e0dfa70c6a7ca6b4096a60b9941,26715,2026-05-23T19:57:50+00:00,
http://node1.gonka.ai:8000,/chain-api/productscience/inference/inference/epoch_performance_summary/271,271,,epoch_performance_summary,ok,outputs/shard_proof_audit/20260523T195713Z/raw/node1.gonka.ai_8000/epoch_271/epoch_performance_summary.json,f825cde7d84b67fb444dfa495b3f9b117d9e2d50e2e3436f3975e48ca0dec5c6,18001,2026-05-23T19:57:51+00:00,
http://node1.gonka.ai:8000,/chain-api/productscience/inference/inference/excluded_participants/271,271,,excluded_participants,ok,outputs/shard_proof_audit/20260523T195713Z/raw/node1.gonka.ai_8000/epoch_271/excluded_participants.json,9f9179fdc1e1c7d31948be8809f663e8fb269cab5a988bd3f5b820f4287e026b,1357,2026-05-23T19:57:52+00:00,
http://node1.gonka.ai:8000,/chain-api/productscience/inference/inference/confirmation_poc_events/271,271,,confirmation_poc_events,ok,outputs/shard_proof_audit/20260523T195713Z/raw/node1.gonka.ai_8000/epoch_271/confirmation_poc_events.json,5b844e15841b27060e59169f1de7581e6cdbedb913418428720d67bc55c83ef6,2051,2026-05-23T19:57:52+00:00,
http://node1.gonka.ai:8000,/chain-api/productscience/inference/inference/epoch_group_data/272,272,,epoch_group_data,ok,outputs/shard_proof_audit/20260523T195713Z/raw/node1.gonka.ai_8000/epoch_272/epoch_group_data.json,e0c5f72322860fdcfb7658bdd4844da31bf28f62a57734d6b87bf85caa10a4a9,26398,2026-05-23T19:57:53+00:00,
http://node1.gonka.ai:8000,/chain-api/productscience/inference/inference/epoch_group_data/272?model_id=Qwen%2FQwen3-235B-A22B-Instruct-2507-FP8,272,Qwen/Qwen3-235B-A22B-Instruct-2507-FP8,epoch_group_data_model,ok,outputs/shard_proof_audit/20260523T195713Z/raw/node1.gonka.ai_8000/epoch_272/epoch_group_data__Qwen_Qwen3-235B-A22B-Instruct-2507-FP8.json,54e441eac8b86444309d207ef970e419c5995796d214d101d1b321f427165563,41763,2026-05-23T19:57:53+00:00,
http://node1.gonka.ai:8000,/chain-api/productscience/inference/inference/epoch_group_data/272?model_id=moonshotai%2FKimi-K2.6,272,moonshotai/Kimi-K2.6,epoch_group_data_model,ok,outputs/shard_proof_audit/20260523T195713Z/raw/node1.gonka.ai_8000/epoch_272/epoch_group_data__moonshotai_Kimi-K2.6.json,cef2931f8bc290e90adbb67fbb99e4ff338312c08e9125fe50931f5cfde6aa0d,26742,2026-05-23T19:57:54+00:00,
http://node1.gonka.ai:8000,/chain-api/productscience/inference/inference/epoch_performance_summary/272,272,,epoch_performance_summary,ok,outputs/shard_proof_audit/20260523T195713Z/raw/node1.gonka.ai_8000/epoch_272/epoch_performance_summary.json,1c11175d3bdba417497a4576b69e38f2c5856f488b1684d788b0a5eaa517ebdc,18360,2026-05-23T19:57:55+00:00,
http://node1.gonka.ai:8000,/chain-api/productscience/inference/inference/excluded_participants/272,272,,excluded_participants,ok,outputs/shard_proof_audit/20260523T195713Z/raw/node1.gonka.ai_8000/epoch_272/excluded_participants.json,798826f6e610cf617f90e745dddf6076d350e7a2e8a85f7b203a7c3c3c5b5b0c,1359,2026-05-23T19:57:55+00:00,
http://node1.gonka.ai:8000,/chain-api/productscience/inference/inference/confirmation_poc_events/272,272,,confirmation_poc_events,ok,outputs/shard_proof_audit/20260523T195713Z/raw/node1.gonka.ai_8000/epoch_272/confirmation_poc_events.json,563888d8536acf750e35fdd4a149b3f3c880810416d5b0df480ef52620b70d3b,1471,2026-05-23T19:57:56+00:00,
http://node2.gonka.ai:8000,/chain-api/productscience/inference/inference/params,,,params,ok,outputs/shard_proof_audit/20260523T195713Z/raw/node2.gonka.ai_8000/params.json,2433168168134978bd15822da9590ebdd37220bbc54bc4b5f097a957959f645c,11171,2026-05-23T19:57:56+00:00,
http://node2.gonka.ai:8000,/chain-api/productscience/inference/inference/epoch_group_data/269,269,,epoch_group_data,ok,outputs/shard_proof_audit/20260523T195713Z/raw/node2.gonka.ai_8000/epoch_269/epoch_group_data.json,f748b8e7fc41d677fac8918755379b14836fcfe9a1f63881d8bb32c53dbe1f1d,30182,2026-05-23T19:57:57+00:00,
http://node2.gonka.ai:8000,/chain-api/productscience/inference/inference/epoch_group_data/269?model_id=Qwen%2FQwen3-235B-A22B-Instruct-2507-FP8,269,Qwen/Qwen3-235B-A22B-Instruct-2507-FP8,epoch_group_data_model,ok,outputs/shard_proof_audit/20260523T195713Z/raw/node2.gonka.ai_8000/epoch_269/epoch_group_data__Qwen_Qwen3-235B-A22B-Instruct-2507-FP8.json,a3a80455ea6ce66c4fe72e5160a791e6c2be361c66ef21a7d708079424e873e5,42684,2026-05-23T19:57:58+00:00,
http://node2.gonka.ai:8000,/chain-api/productscience/inference/inference/epoch_group_data/269?model_id=moonshotai%2FKimi-K2.6,269,moonshotai/Kimi-K2.6,epoch_group_data_model,ok,outputs/shard_proof_audit/20260523T195713Z/raw/node2.gonka.ai_8000/epoch_269/epoch_group_data__moonshotai_Kimi-K2.6.json,810880ffba70137f063fe422e70a9feefd726df591ddfa69f4463e90ccd9a7e8,28159,2026-05-23T19:57:58+00:00,
http://node2.gonka.ai:8000,/chain-api/productscience/inference/inference/epoch_performance_summary/269,269,,epoch_performance_summary,error,outputs/shard_proof_audit/20260523T195713Z/raw/node2.gonka.ai_8000/epoch_269/epoch_performance_summary.error.json,12a21b6117e81b93dda5262b01ba1c06ce21dfaa1bdfdff99a8025d33a4a88d6,356,2026-05-23T19:57:59+00:00,failed to fetch http://node2.gonka.ai:8000/chain-api/productscience/inference/inference/epoch_performance_summary/269: HTTP Error 500: Internal Server Error
http://node2.gonka.ai:8000,/chain-api/productscience/inference/inference/excluded_participants/269,269,,excluded_participants,ok,outputs/shard_proof_audit/20260523T195713Z/raw/node2.gonka.ai_8000/epoch_269/excluded_participants.json,b83f600c0dbf596c22525efe1e371c79279c6bbf9375ad1c659a6b2aa703038c,2121,2026-05-23T19:58:10+00:00,
http://node2.gonka.ai:8000,/chain-api/productscience/inference/inference/confirmation_poc_events/269,269,,confirmation_poc_events,ok,outputs/shard_proof_audit/20260523T195713Z/raw/node2.gonka.ai_8000/epoch_269/confirmation_poc_events.json,be9ed81dc913d00f73cec398c7661daee43a95fe5825c0836aa0bf80f8e22386,1761,2026-05-23T19:58:11+00:00,
http://node2.gonka.ai:8000,/chain-api/productscience/inference/inference/epoch_group_data/270,270,,epoch_group_data,ok,outputs/shard_proof_audit/20260523T195713Z/raw/node2.gonka.ai_8000/epoch_270/epoch_group_data.json,5e9b60ead4e699732965ec57ea61304b3995ad90a02479fcd3d7dc5bb3f92a8b,25912,2026-05-23T19:58:11+00:00,
http://node2.gonka.ai:8000,/chain-api/productscience/inference/inference/epoch_group_data/270?model_id=Qwen%2FQwen3-235B-A22B-Instruct-2507-FP8,270,Qwen/Qwen3-235B-A22B-Instruct-2507-FP8,epoch_group_data_model,ok,outputs/shard_proof_audit/20260523T195713Z/raw/node2.gonka.ai_8000/epoch_270/epoch_group_data__Qwen_Qwen3-235B-A22B-Instruct-2507-FP8.json,f3fe596b54c5479749a21e13a8ab00db455eaaf9b6b9b9a81c60609f88c25312,40305,2026-05-23T19:58:12+00:00,
http://node2.gonka.ai:8000,/chain-api/productscience/inference/inference/epoch_group_data/270?model_id=moonshotai%2FKimi-K2.6,270,moonshotai/Kimi-K2.6,epoch_group_data_model,ok,outputs/shard_proof_audit/20260523T195713Z/raw/node2.gonka.ai_8000/epoch_270/epoch_group_data__moonshotai_Kimi-K2.6.json,fa93c048e1797c025f337f1dc54bdacdf2d0eb2f2e203bf5e8265c5acc0c9e50,27815,2026-05-23T19:58:13+00:00,
http://node2.gonka.ai:8000,/chain-api/productscience/inference/inference/epoch_performance_summary/270,270,,epoch_performance_summary,error,outputs/shard_proof_audit/20260523T195713Z/raw/node2.gonka.ai_8000/epoch_270/epoch_performance_summary.error.json,53e3b50ed89160b49ca83e4e885f3c6b681b690e75f5a139573922109b74e9f7,356,2026-05-23T19:58:13+00:00,failed to fetch http://node2.gonka.ai:8000/chain-api/productscience/inference/inference/epoch_performance_summary/270: HTTP Error 500: Internal Server Error
http://node2.gonka.ai:8000,/chain-api/productscience/inference/inference/excluded_participants/270,270,,excluded_participants,ok,outputs/shard_proof_audit/20260523T195713Z/raw/node2.gonka.ai_8000/epoch_270/excluded_participants.json,c2b3bcec0ffbc2d9a249eb53b6b3945f4acb2d60f0e57331cacfd4447844cd5d,784,2026-05-23T19:58:21+00:00,
http://node2.gonka.ai:8000,/chain-api/productscience/inference/inference/confirmation_poc_events/270,270,,confirmation_poc_events,ok,outputs/shard_proof_audit/20260523T195713Z/raw/node2.gonka.ai_8000/epoch_270/confirmation_poc_events.json,5b5f40d511bd79b139ff5c55aa072e44ab01265a406efc639923b945d3672baf,891,2026-05-23T19:58:21+00:00,
http://node2.gonka.ai:8000,/chain-api/productscience/inference/inference/epoch_group_data/271,271,,epoch_group_data,ok,outputs/shard_proof_audit/20260523T195713Z/raw/node2.gonka.ai_8000/epoch_271/epoch_group_data.json,def018d446ddba65b5afcfe9a7b3a51cedeb944a540691e8623431361fbed4f8,25910,2026-05-23T19:58:22+00:00,
http://node2.gonka.ai:8000,/chain-api/productscience/inference/inference/epoch_group_data/271?model_id=Qwen%2FQwen3-235B-A22B-Instruct-2507-FP8,271,Qwen/Qwen3-235B-A22B-Instruct-2507-FP8,epoch_group_data_model,ok,outputs/shard_proof_audit/20260523T195713Z/raw/node2.gonka.ai_8000/epoch_271/epoch_group_data__Qwen_Qwen3-235B-A22B-Instruct-2507-FP8.json,21f1e4bafa63e3e0cd019001909f652921fd0e2ec783125868e0265225dd533b,41716,2026-05-23T19:58:23+00:00,
http://node2.gonka.ai:8000,/chain-api/productscience/inference/inference/epoch_group_data/271?model_id=moonshotai%2FKimi-K2.6,271,moonshotai/Kimi-K2.6,epoch_group_data_model,ok,outputs/shard_proof_audit/20260523T195713Z/raw/node2.gonka.ai_8000/epoch_271/epoch_group_data__moonshotai_Kimi-K2.6.json,d8a24593b05a00f3a528060356b071a0a9a26e0dfa70c6a7ca6b4096a60b9941,26715,2026-05-23T19:58:23+00:00,
http://node2.gonka.ai:8000,/chain-api/productscience/inference/inference/epoch_performance_summary/271,271,,epoch_performance_summary,error,outputs/shard_proof_audit/20260523T195713Z/raw/node2.gonka.ai_8000/epoch_271/epoch_performance_summary.error.json,f65bab6dc56dbb7717792f284bfd75e03c80a265e2bb944853cf629669034109,356,2026-05-23T19:58:24+00:00,failed to fetch http://node2.gonka.ai:8000/chain-api/productscience/inference/inference/epoch_performance_summary/271: HTTP Error 500: Internal Server Error
http://node2.gonka.ai:8000,/chain-api/productscience/inference/inference/excluded_participants/271,271,,excluded_participants,ok,outputs/shard_proof_audit/20260523T195713Z/raw/node2.gonka.ai_8000/epoch_271/excluded_participants.json,9f9179fdc1e1c7d31948be8809f663e8fb269cab5a988bd3f5b820f4287e026b,1357,2026-05-23T19:58:30+00:00,
http://node2.gonka.ai:8000,/chain-api/productscience/inference/inference/confirmation_poc_events/271,271,,confirmation_poc_events,ok,outputs/shard_proof_audit/20260523T195713Z/raw/node2.gonka.ai_8000/epoch_271/confirmation_poc_events.json,5b844e15841b27060e59169f1de7581e6cdbedb913418428720d67bc55c83ef6,2051,2026-05-23T19:58:31+00:00,
http://node2.gonka.ai:8000,/chain-api/productscience/inference/inference/epoch_group_data/272,272,,epoch_group_data,ok,outputs/shard_proof_audit/20260523T195713Z/raw/node2.gonka.ai_8000/epoch_272/epoch_group_data.json,e0c5f72322860fdcfb7658bdd4844da31bf28f62a57734d6b87bf85caa10a4a9,26398,2026-05-23T19:58:31+00:00,
http://node2.gonka.ai:8000,/chain-api/productscience/inference/inference/epoch_group_data/272?model_id=Qwen%2FQwen3-235B-A22B-Instruct-2507-FP8,272,Qwen/Qwen3-235B-A22B-Instruct-2507-FP8,epoch_group_data_model,ok,outputs/shard_proof_audit/20260523T195713Z/raw/node2.gonka.ai_8000/epoch_272/epoch_group_data__Qwen_Qwen3-235B-A22B-Instruct-2507-FP8.json,54e441eac8b86444309d207ef970e419c5995796d214d101d1b321f427165563,41763,2026-05-23T19:58:32+00:00,
http://node2.gonka.ai:8000,/chain-api/productscience/inference/inference/epoch_group_data/272?model_id=moonshotai%2FKimi-K2.6,272,moonshotai/Kimi-K2.6,epoch_group_data_model,ok,outputs/shard_proof_audit/20260523T195713Z/raw/node2.gonka.ai_8000/epoch_272/epoch_group_data__moonshotai_Kimi-K2.6.json,cef2931f8bc290e90adbb67fbb99e4ff338312c08e9125fe50931f5cfde6aa0d,26742,2026-05-23T19:58:33+00:00,
http://node2.gonka.ai:8000,/chain-api/productscience/inference/inference/epoch_performance_summary/272,272,,epoch_performance_summary,error,outputs/shard_proof_audit/20260523T195713Z/raw/node2.gonka.ai_8000/epoch_272/epoch_performance_summary.error.json,f568888902ad727049521a6c2e0e5a8acc687af08e8a5e75ee44067a134e46ee,356,2026-05-23T19:58:34+00:00,failed to fetch http://node2.gonka.ai:8000/chain-api/productscience/inference/inference/epoch_performance_summary/272: HTTP Error 500: Internal Server Error
http://node2.gonka.ai:8000,/chain-api/productscience/inference/inference/excluded_participants/272,272,,excluded_participants,ok,outputs/shard_proof_audit/20260523T195713Z/raw/node2.gonka.ai_8000/epoch_272/excluded_participants.json,798826f6e610cf617f90e745dddf6076d350e7a2e8a85f7b203a7c3c3c5b5b0c,1359,2026-05-23T19:58:42+00:00,
http://node2.gonka.ai:8000,/chain-api/productscience/inference/inference/confirmation_poc_events/272,272,,confirmation_poc_events,ok,outputs/shard_proof_audit/20260523T195713Z/raw/node2.gonka.ai_8000/epoch_272/confirmation_poc_events.json,563888d8536acf750e35fdd4a149b3f3c880810416d5b0df480ef52620b70d3b,1471,2026-05-23T19:58:42+00:00,
http://node3.gonka.ai:8000,/chain-api/productscience/inference/inference/params,,,params,error,outputs/shard_proof_audit/20260523T195713Z/raw/node3.gonka.ai_8000/params.error.json,6623d40cfd230ce7afd2af14a21d83dddf53a4f68d549005be9ca17f06149d53,318,2026-05-23T19:58:43+00:00,failed to fetch http://node3.gonka.ai:8000/chain-api/productscience/inference/inference/params: <urlopen error [Errno 61] Connection refused>
http://node3.gonka.ai:8000,/chain-api/productscience/inference/inference/epoch_group_data/269,269,,epoch_group_data,error,outputs/shard_proof_audit/20260523T195713Z/raw/node3.gonka.ai_8000/epoch_269/epoch_group_data.error.json,29275328e32fa19057ac0f02e1fdc3f922a7bb63c3cc69bc4fc9d9c813a52970,346,2026-05-23T19:58:45+00:00,failed to fetch http://node3.gonka.ai:8000/chain-api/productscience/inference/inference/epoch_group_data/269: <urlopen error [Errno 61] Connection refused>
http://node3.gonka.ai:8000,/chain-api/productscience/inference/inference/epoch_performance_summary/269,269,,epoch_performance_summary,error,outputs/shard_proof_audit/20260523T195713Z/raw/node3.gonka.ai_8000/epoch_269/epoch_performance_summary.error.json,8416306e8be236bdcc38f6e54011f0ffda803e65cd880a7795bfd3ec8148fd1b,364,2026-05-23T19:58:48+00:00,failed to fetch http://node3.gonka.ai:8000/chain-api/productscience/inference/inference/epoch_performance_summary/269: <urlopen error [Errno 61] Connection refused>
http://node3.gonka.ai:8000,/chain-api/productscience/inference/inference/excluded_participants/269,269,,excluded_participants,error,outputs/shard_proof_audit/20260523T195713Z/raw/node3.gonka.ai_8000/epoch_269/excluded_participants.error.json,687632b3087e82354c8668d93e90570a74ecb1efcb034866ab1473cffa7fc3fd,356,2026-05-23T19:58:50+00:00,failed to fetch http://node3.gonka.ai:8000/chain-api/productscience/inference/inference/excluded_participants/269: <urlopen error [Errno 61] Connection refused>
http://node3.gonka.ai:8000,/chain-api/productscience/inference/inference/confirmation_poc_events/269,269,,confirmation_poc_events,error,outputs/shard_proof_audit/20260523T195713Z/raw/node3.gonka.ai_8000/epoch_269/confirmation_poc_events.error.json,8c6d68f206b1cc41cee20f59fb38dec60d7e717883aeac95b5e3f30458ea5e77,360,2026-05-23T19:58:52+00:00,failed to fetch http://node3.gonka.ai:8000/chain-api/productscience/inference/inference/confirmation_poc_events/269: <urlopen error [Errno 61] Connection refused>
http://node3.gonka.ai:8000,/chain-api/productscience/inference/inference/epoch_group_data/270,270,,epoch_group_data,error,outputs/shard_proof_audit/20260523T195713Z/raw/node3.gonka.ai_8000/epoch_270/epoch_group_data.error.json,2b3e79ba9f2d13d526f57bfddbfefe974b7d07a63cc3d92843318ba19d8e04b3,346,2026-05-23T19:58:55+00:00,failed to fetch http://node3.gonka.ai:8000/chain-api/productscience/inference/inference/epoch_group_data/270: <urlopen error [Errno 61] Connection refused>
http://node3.gonka.ai:8000,/chain-api/productscience/inference/inference/epoch_performance_summary/270,270,,epoch_performance_summary,error,outputs/shard_proof_audit/20260523T195713Z/raw/node3.gonka.ai_8000/epoch_270/epoch_performance_summary.error.json,ff7cc7684941a1f328afe139a5f1bd21e0689f1e2f97a49eb4764bbfac47d5e2,364,2026-05-23T19:58:57+00:00,failed to fetch http://node3.gonka.ai:8000/chain-api/productscience/inference/inference/epoch_performance_summary/270: <urlopen error [Errno 61] Connection refused>
http://node3.gonka.ai:8000,/chain-api/productscience/inference/inference/excluded_participants/270,270,,excluded_participants,error,outputs/shard_proof_audit/20260523T195713Z/raw/node3.gonka.ai_8000/epoch_270/excluded_participants.error.json,e88c751485a2eb5676b98f0059c2393fa102855a8eb3474c05e3cc6d8ba1bdf5,356,2026-05-23T19:58:59+00:00,failed to fetch http://node3.gonka.ai:8000/chain-api/productscience/inference/inference/excluded_participants/270: <urlopen error [Errno 61] Connection refused>
http://node3.gonka.ai:8000,/chain-api/productscience/inference/inference/confirmation_poc_events/270,270,,confirmation_poc_events,error,outputs/shard_proof_audit/20260523T195713Z/raw/node3.gonka.ai_8000/epoch_270/confirmation_poc_events.error.json,1c9130b7cc5b6811eab28f8f15fa363addb4908cc75c57f2f9523a2e9fed3675,360,2026-05-23T19:59:02+00:00,failed to fetch http://node3.gonka.ai:8000/chain-api/productscience/inference/inference/confirmation_poc_events/270: <urlopen error [Errno 61] Connection refused>
http://node3.gonka.ai:8000,/chain-api/productscience/inference/inference/epoch_group_data/271,271,,epoch_group_data,error,outputs/shard_proof_audit/20260523T195713Z/raw/node3.gonka.ai_8000/epoch_271/epoch_group_data.error.json,0dcf953ae59796f5fe1c0bce6d92184f6e6979b1fdfa0559c584594c05b1866f,346,2026-05-23T19:59:04+00:00,failed to fetch http://node3.gonka.ai:8000/chain-api/productscience/inference/inference/epoch_group_data/271: <urlopen error [Errno 61] Connection refused>
