actual_reward_gnk,actual_rewarded_coins,address,compensation_base_units,compensation_gnk,confirmation_weight,effective_weight,epoch,exclusion_reason,expected_reward_base_units,expected_reward_gnk,fixed_epoch_reward,notes,reward_rate_base_units_per_weight,total_epoch_weight,weight
0.000000000,0,gonka1043d00lu0v3fz53cut34twtcanalqg9u8vehp2,684742173614,684.742173614,0,0,248,missed_requests,684742173614,684.742173614,287242648359423,chain_effective_reward_base_units=0; full_weight_reward_base_units=684742173614; expected_reward_weight=2046; expected_reward_base_units=684742173614,334673594.14201126209836684427055600930701859656032,858277,2046
0.000000000,0,gonka10jjrlvkfkqupgudz0l603sq99y3wkt3urwjm0x,149599096581,149.599096581,0,0,248,failed_confirmation_poc,149599096581,149.599096581,287242648359423,participant excluded from distribution; chain_effective_reward_base_units=0; full_weight_reward_base_units=149599096581; expected_reward_weight=447; expected_reward_base_units=149599096581,334673594.14201126209836684427055600930701859656032,858277,447
0.000000000,0,gonka10mmdjau4dnj8krs7sh7t7635ttnmq9u3vqgz09,1040165530593,1040.165530593,0,0,248,missed_requests,1040165530593,1040.165530593,287242648359423,chain_effective_reward_base_units=0; full_weight_reward_base_units=1040165530593; expected_reward_weight=3108; expected_reward_base_units=1040165530593,334673594.14201126209836684427055600930701859656032,858277,3108
0.000000000,0,gonka10snluhflqhmwl5xrpuy9ugevypxdjjsft370fq,525437542802,525.437542802,0,0,248,failed_confirmation_poc,525437542802,525.437542802,287242648359423,participant excluded from distribution; chain_effective_reward_base_units=0; full_weight_reward_base_units=525437542802; expected_reward_weight=1570; expected_reward_base_units=525437542802,334673594.14201126209836684427055600930701859656032,858277,1570
0.000000000,0,gonka10t67f5zxh7canhuznxg7cperec6286jjqh5pey,140897583133,140.897583133,0,0,248,failed_confirmation_poc,140897583133,140.897583133,287242648359423,participant excluded from distribution; chain_effective_reward_base_units=0; full_weight_reward_base_units=140897583133; expected_reward_weight=421; expected_reward_base_units=140897583133,334673594.14201126209836684427055600930701859656032,858277,421
0.000000000,0,gonka125n6kr5gvdup0lndfkps7t6rd6592panhrg3np,1038157489028,1038.157489028,0,0,248,confirmation_weight_reduction,1038157489028,1038.157489028,287242648359423,chain_effective_reward_base_units=0; full_weight_reward_base_units=1038157489028; expected_reward_weight=3102; expected_reward_base_units=1038157489028,334673594.14201126209836684427055600930701859656032,858277,3102
0.000000000,0,gonka12av9up884t9lcsf70rs0l7jfmkmc8k9sxfuknt,39123343155201,39123.343155201,116900,0,248,consecutive_failures,39123343155201,39123.343155201,287242648359423,participant excluded from distribution; subgroup voting_power capped the confirmation weight; chain_effective_reward_base_units=0; full_weight_reward_base_units=45309784542916; expected_reward_weight=116900; expected_reward_base_units=39123343155201,334673594.14201126209836684427055600930701859656032,858277,135385
0.000000000,0,gonka12fazh3etpdx947ldwen4wudnds7wu4kjp5vd76,811918139388,811.918139388,0,0,248,failed_confirmation_poc,811918139388,811.918139388,287242648359423,participant excluded from distribution; chain_effective_reward_base_units=0; full_weight_reward_base_units=811918139388; expected_reward_weight=2426; expected_reward_base_units=811918139388,334673594.14201126209836684427055600930701859656032,858277,2426
0.000000000,0,gonka12gc47yq8m7rnsa3aucq8mlzm7men8jaac7qkkz,1048532370446,1048.532370446,0,0,248,failed_confirmation_poc,1048532370446,1048.532370446,287242648359423,participant excluded from distribution; chain_effective_reward_base_units=0; full_weight_reward_base_units=1048532370446; expected_reward_weight=3133; expected_reward_base_units=1048532370446,334673594.14201126209836684427055600930701859656032,858277,3133
2384.214684667,2384214684667,gonka12pcu9mcrpa4w4sjd9y3dsksnvu495ss6f9r4ra,0,0.000000000,7124,7124,248,confirmation_weight_reduction,2384214684667,2384.214684667,287242648359423,chain_effective_reward_base_units=2384214684667; full_weight_reward_base_units=4031478115034; expected_reward_weight=7124; expected_reward_base_units=2384214684667,334673594.14201126209836684427055600930701859656032,858277,12046
