actual_reward_gnk,actual_rewarded_coins,address,compensation_base_units,compensation_gnk,confirmation_weight,effective_weight,epoch,exclusion_reason,expected_reward_base_units,expected_reward_gnk,fixed_epoch_reward,notes,reward_rate_base_units_per_weight,total_epoch_weight,weight
9182.144332709,9182144332709,gonka10mmdjau4dnj8krs7sh7t7635ttnmq9u3vqgz09,0,0.000000000,38027,38027,255,confirmation_weight_reduction,9182144332709,9182.144332709,286289152618754,chain_effective_reward_base_units=9182144332709; full_weight_reward_base_units=9308671369560; expected_reward_weight=38027; expected_reward_base_units=9182144332709,241463810.78468506460645727202186161060692959076954,1185640,38551
3092.185560908,3092185560908,gonka12pcu9mcrpa4w4sjd9y3dsksnvu495ss6f9r4ra,0,0.000000000,12806,12166,255,subgroup_voting_power_reduction,2937648722006,2937.648722006,286289152618754,subgroup voting_power capped the confirmation weight; chain_effective_reward_base_units=2937648722006; full_weight_reward_base_units=3092185560908; expected_reward_weight=12166; expected_reward_base_units=2937648722006,241463810.78468506460645727202186161060692959076954,1185640,12806
1866.032329744,1866032329744,gonka12tfc6ccmadjqv6yaa3axxsuhy6zv6tupu78p8u,0,0.000000000,7728,7728,255,,1866032329744,1866.032329744,286289152618754,chain_effective_reward_base_units=1866032329744; full_weight_reward_base_units=1866032329744; expected_reward_weight=7728; expected_reward_base_units=1866032329744,241463810.78468506460645727202186161060692959076954,1185640,7728
1856.615241123,1856615241123,gonka14ljarev2nlzu4ej50vx7ylj2rvg4n20fnq2ysc,0,0.000000000,7689,7305,255,subgroup_voting_power_reduction,1763893137782,1763.893137782,286289152618754,subgroup voting_power capped the confirmation weight; chain_effective_reward_base_units=1763893137782; full_weight_reward_base_units=1856615241123; expected_reward_weight=7305; expected_reward_base_units=1763893137782,241463810.78468506460645727202186161060692959076954,1185640,7689
0.000000000,0,gonka14tqh62mangwzrma2lgg2dm375rcjzn2ydy8ttm,850677005394,850.677005394,0,0,255,failed_confirmation_poc,850677005394,850.677005394,286289152618754,participant excluded from distribution; chain_effective_reward_base_units=0; full_weight_reward_base_units=850677005394; expected_reward_weight=3523; expected_reward_base_units=850677005394,241463810.78468506460645727202186161060692959076954,1185640,3523
6680.337789169,6680337789169,gonka15munkmx6x7k6rqqeexjet4556p7at39ks9qgr5,0,0.000000000,27666,27666,255,confirmation_weight_reduction,6680337789169,6680.337789169,286289152618754,chain_effective_reward_base_units=6680337789169; full_weight_reward_base_units=7849747024799; expected_reward_weight=27666; expected_reward_base_units=6680337789169,241463810.78468506460645727202186161060692959076954,1185640,32509
5421.828407359,5421828407359,gonka168rtjfkszuhcggg4dfyse4yh7xn9zwfglnkns2,0,0.000000000,22454,22454,255,confirmation_weight_reduction,5421828407359,5421.828407359,286289152618754,chain_effective_reward_base_units=5421828407359; full_weight_reward_base_units=7170992252683; expected_reward_weight=22454; expected_reward_base_units=5421828407359,241463810.78468506460645727202186161060692959076954,1185640,29698
19845.427680771,19845427680771,gonka16k03ze5ynkprsd4n6e5uzhthvu9jjk553rauqy,0,0.000000000,82188,82188,255,confirmation_weight_reduction,19845427680771,19845.427680771,286289152618754,chain_effective_reward_base_units=19845427680771; full_weight_reward_base_units=23712470610488; expected_reward_weight=82188; expected_reward_base_units=19845427680771,241463810.78468506460645727202186161060692959076954,1185640,98203
27813.491972855,27813491972855,gonka17gpuntq09zsaqtmpe544gc32tk4424dwv5t34f,0,0.000000000,115187,115187,255,confirmation_weight_reduction,27813491972855,27813.491972855,286289152618754,chain_effective_reward_base_units=27813491972855; full_weight_reward_base_units=28431880792275; expected_reward_weight=115187; expected_reward_base_units=27813491972855,241463810.78468506460645727202186161060692959076954,1185640,117748
9885.528413525,9885528413525,gonka17pw6099q758qwzewtrqmqpf5c2lrhr97fwqexu,0,0.000000000,43095,40940,255,confirmation_weight_reduction,9885528413525,9885.528413525,286289152618754,subgroup voting_power capped the confirmation weight; chain_effective_reward_base_units=9885528413525; full_weight_reward_base_units=14107523145095; expected_reward_weight=40940; expected_reward_base_units=9885528413525,241463810.78468506460645727202186161060692959076954,1185640,58425
