actual_reward_gnk,actual_rewarded_coins,address,compensation_base_units,compensation_gnk,confirmation_weight,effective_weight,epoch,exclusion_reason,expected_reward_base_units,expected_reward_gnk,fixed_epoch_reward,notes,reward_rate_base_units_per_weight,total_epoch_weight,weight
8015.363671163,8015363671163,gonka10mmdjau4dnj8krs7sh7t7635ttnmq9u3vqgz09,0,0.000000000,23034,23034,253,confirmation_weight_reduction,8015363671163,8015.363671163,286561256542641,chain_effective_reward_base_units=8015363671163; full_weight_reward_base_units=8021627305186; expected_reward_weight=23034; expected_reward_base_units=8015363671163,347979667.93277595628415300546448087431693989071038,823500,23052
4479.890244966,4479890244966,gonka12pcu9mcrpa4w4sjd9y3dsksnvu495ss6f9r4ra,0,0.000000000,12886,12241,253,subgroup_voting_power_reduction,4259619115165,4259.619115165,286561256542641,subgroup voting_power capped the confirmation weight; chain_effective_reward_base_units=4259619115165; full_weight_reward_base_units=4484066000981; expected_reward_weight=12241; expected_reward_base_units=4259619115165,347979667.93277595628415300546448087431693989071038,823500,12886
3605.069359783,3605069359783,gonka14ljarev2nlzu4ej50vx7ylj2rvg4n20fnq2ysc,0,0.000000000,10440,9918,253,subgroup_voting_power_reduction,3451262346557,3451.262346557,286561256542641,subgroup voting_power capped the confirmation weight; chain_effective_reward_base_units=3451262346557; full_weight_reward_base_units=3632907733218; expected_reward_weight=9918; expected_reward_base_units=3451262346557,347979667.93277595628415300546448087431693989071038,823500,10440
2449.080902910,2449080902910,gonka14tqh62mangwzrma2lgg2dm375rcjzn2ydy8ttm,0,0.000000000,7694,6540,253,subgroup_voting_power_reduction,2275787028280,2275.787028280,286561256542641,subgroup voting_power capped the confirmation weight; chain_effective_reward_base_units=2275787028280; full_weight_reward_base_units=2677355565074; expected_reward_weight=6540; expected_reward_base_units=2275787028280,347979667.93277595628415300546448087431693989071038,823500,7694
9896.889735676,9896889735676,gonka15munkmx6x7k6rqqeexjet4556p7at39ks9qgr5,0,0.000000000,28441,28441,253,,9896889735676,9896.889735676,286561256542641,chain_effective_reward_base_units=9896889735676; full_weight_reward_base_units=9896889735676; expected_reward_weight=28441; expected_reward_base_units=9896889735676,347979667.93277595628415300546448087431693989071038,823500,28441
154.502972562,154502972562,gonka168rtjfkszuhcggg4dfyse4yh7xn9zwfglnkns2,0,0.000000000,444,422,253,subgroup_voting_power_reduction,146847419867,146.847419867,286561256542641,subgroup voting_power capped the confirmation weight; chain_effective_reward_base_units=146847419867; full_weight_reward_base_units=154502972562; expected_reward_weight=422; expected_reward_base_units=146847419867,347979667.93277595628415300546448087431693989071038,823500,444
6385.426906566,6385426906566,gonka16k03ze5ynkprsd4n6e5uzhthvu9jjk553rauqy,0,0.000000000,18350,18350,253,confirmation_weight_reduction,6385426906566,6385.426906566,286561256542641,chain_effective_reward_base_units=6385426906566; full_weight_reward_base_units=6451543043473; expected_reward_weight=18350; expected_reward_base_units=6385426906566,347979667.93277595628415300546448087431693989071038,823500,18540
36684.364573141,36684364573141,gonka17gpuntq09zsaqtmpe544gc32tk4424dwv5t34f,0,0.000000000,105421,105421,253,confirmation_weight_reduction,36684364573141,36684.364573141,286561256542641,chain_effective_reward_base_units=36684364573141; full_weight_reward_base_units=38298642252681; expected_reward_weight=105421; expected_reward_base_units=36684364573141,347979667.93277595628415300546448087431693989071038,823500,110060
14466.558734969,14466558734969,gonka17pw6099q758qwzewtrqmqpf5c2lrhr97fwqexu,0,0.000000000,42378,36021,253,subgroup_voting_power_reduction,12534575618606,12534.575618606,286561256542641,subgroup voting_power capped the confirmation weight; chain_effective_reward_base_units=12534575618606; full_weight_reward_base_units=14746682367655; expected_reward_weight=36021; expected_reward_base_units=12534575618606,347979667.93277595628415300546448087431693989071038,823500,42378
403.656414802,403656414802,gonka1830lqug50lse998x2lakk4pj5ypfumz5pasz0y,0,0.000000000,1168,992,253,subgroup_voting_power_reduction,345195830589,345.195830589,286561256542641,subgroup voting_power capped the confirmation weight; chain_effective_reward_base_units=345195830589; full_weight_reward_base_units=406440252145; expected_reward_weight=992; expected_reward_base_units=345195830589,347979667.93277595628415300546448087431693989071038,823500,1168
3754.700616994,3754700616994,gonka187tn9y92ur6tu0zf69u94hwl0q77m47y0k36hv,0,0.000000000,11015,9363,253,subgroup_voting_power_reduction,3258133630854,3258.133630854,286561256542641,subgroup voting_power capped the confirmation weight; chain_effective_reward_base_units=3258133630854; full_weight_reward_base_units=3832996042279; expected_reward_weight=9363; expected_reward_base_units=3258133630854,347979667.93277595628415300546448087431693989071038,823500,11015
595.741191500,595741191500,gonka19f9hkpmjaldncsfly4j63sy932y8hughn4l3d8,0,0.000000000,1715,1629,253,subgroup_voting_power_reduction,566858879062,566.858879062,286561256542641,subgroup voting_power capped the confirmation weight; chain_effective_reward_base_units=566858879062; full_weight_reward_base_units=596785130504; expected_reward_weight=1629; expected_reward_base_units=566858879062,347979667.93277595628415300546448087431693989071038,823500,1715
2770.962095748,2770962095748,gonka19ghzvgfr065s3fr5awuvs3nhy9fq4n7wrr9kel,0,0.000000000,7963,6768,253,subgroup_voting_power_reduction,2355126392569,2355.126392569,286561256542641,subgroup voting_power capped the confirmation weight; chain_effective_reward_base_units=2355126392569; full_weight_reward_base_units=2770962095748; expected_reward_weight=6768; expected_reward_base_units=2355126392569,347979667.93277595628415300546448087431693989071038,823500,7963
264.464547628,264464547628,gonka1amlmhjym02shahjv8ldmupg4cx0qc66q6f85rj,0,0.000000000,760,646,253,subgroup_voting_power_reduction,224794865484,224.794865484,286561256542641,subgroup voting_power capped the confirmation weight; chain_effective_reward_base_units=224794865484; full_weight_reward_base_units=264464547628; expected_reward_weight=646; expected_reward_base_units=224794865484,347979667.93277595628415300546448087431693989071038,823500,760
684.476006823,684476006823,gonka1ccdm8j6sjyhq4qask049dwgaczs7f3pxte6zmp,0,0.000000000,1968,1870,253,subgroup_voting_power_reduction,650721979034,650.721979034,286561256542641,subgroup voting_power capped the confirmation weight; chain_effective_reward_base_units=650721979034; full_weight_reward_base_units=684823986491; expected_reward_weight=1870; expected_reward_base_units=650721979034,347979667.93277595628415300546448087431693989071038,823500,1968
4816.038604189,4816038604189,gonka1d694r00czmq75txghwjcuk07lxvc8d4ekgsha0,0,0.000000000,13840,13840,253,confirmation_weight_reduction,4816038604189,4816.038604189,286561256542641,chain_effective_reward_base_units=4816038604189; full_weight_reward_base_units=5230830368365; expected_reward_weight=13840; expected_reward_base_units=4816038604189,347979667.93277595628415300546448087431693989071038,823500,15032
0.000000000,0,gonka1d7ghexkrnm00fh695zcd00xgfgwxe2vvamcsdt,470120531377,470.120531377,0,0,253,failed_confirmation_poc,470120531377,470.120531377,286561256542641,participant excluded from distribution; chain_effective_reward_base_units=0; full_weight_reward_base_units=470120531377; expected_reward_weight=1351; expected_reward_base_units=470120531377,347979667.93277595628415300546448087431693989071038,823500,1351
204.264065076,204264065076,gonka1d7p03cu2y2yt3vytq9wlfm6tlz0lfhlgv9h82p,0,0.000000000,589,559,253,subgroup_voting_power_reduction,194520634374,194.520634374,286561256542641,subgroup voting_power capped the confirmation weight; chain_effective_reward_base_units=194520634374; full_weight_reward_base_units=204960024412; expected_reward_weight=559; expected_reward_base_units=194520634374,347979667.93277595628415300546448087431693989071038,823500,589
381.037736386,381037736386,gonka1dkl4mah5erqggvhqkpc8j3qs5tyuetgdy552cp,0,0.000000000,1098,1043,253,subgroup_voting_power_reduction,362942793653,362.942793653,286561256542641,subgroup voting_power capped the confirmation weight; chain_effective_reward_base_units=362942793653; full_weight_reward_base_units=382081675390; expected_reward_weight=1043; expected_reward_base_units=362942793653,347979667.93277595628415300546448087431693989071038,823500,1098
40095.609257886,40095609257886,gonka1duuaqdx06sx8v2dzggltwwmqyuw8lvjkjq7xll,0,0.000000000,115224,109463,253,subgroup_voting_power_reduction,38090898390925,38090.898390925,286561256542641,subgroup voting_power capped the confirmation weight; chain_effective_reward_base_units=38090898390925; full_weight_reward_base_units=40095609257886; expected_reward_weight=109463; expected_reward_base_units=38090898390925,347979667.93277595628415300546448087431693989071038,823500,115224
32076.069830707,32076069830707,gonka1famtxh54kad6ylwtm60j6d7h6unpc08d4vdqnk,0,0.000000000,92178,92178,253,confirmation_weight_reduction,32076069830707,32076.069830707,286561256542641,chain_effective_reward_base_units=32076069830707; full_weight_reward_base_units=32259107136040; expected_reward_weight=92178; expected_reward_base_units=32076069830707,347979667.93277595628415300546448087431693989071038,823500,92704
